"来週の旅行は兄以外みんな行けます。","来週[らいしゅう]の 旅行[りょこう]は 兄[あに] 以外[いがい]みんな 行[い]けます。","Everyone is going on the trip next week except for my older brother.<br><br>以外[いがい] - outside of, except for","Todos se van de viaje la semana que viene excepto mi hermano mayor.<br><br>以外[いがい] - fuera de, excepto","[sound:JLPT_Tango_N4_0741.mp3]","","単語N4"
"この赤と青のシャツを両方買いました。","この 赤[あか]と 青[あお]のシャツを 両方[りょうほう] 買[か]いました。","I bought both this red shirt and this blue shirt.<br><br>両方[りょうほう] - both","Compré esta camisa roja y esta camisa azul.<br><br>両方[りょうほう] - ambas","[sound:JLPT_Tango_N4_0742.mp3]","","単語N4"
"先生から丁寧なメールを頂きました。","先生[せんせい]から 丁寧[ていねい]なメールを 頂[いただ]きました。","I got a courteous letter from my teacher.<br><br>丁寧[ていねい]な - polite, courteous","Recibí una carta cortés de mi profesor.<br><br>丁寧[ていねい]な - educado, cortés","[sound:JLPT_Tango_N4_0746.mp3]","","単語N4"
"家の前に大きな木があります。","家[いえ]の 前[まえ]に 大[おお]きな 木[き]があります。","There is a large tree in front of the house.<br><br>大[おお]きな - big, large<br><br>Special na-adjective-like forms of i-adjectives","Hay un árbol grande delante de la casa.<br><br>大[おお]きな - grande, grande<br><br>Formas especiales na-adjetivas de los adjetivos i","[sound:JLPT_Tango_N4_0747.mp3]","","単語N4"
"庭に小さな花が咲いています。","庭[にわ]に 小[ちい]さな 花[はな]が 咲[さ]いています。","The small flowers in the garden are in bloom.<br><br>小[ちい]さな - small, little<br><br>Special na-adjective-like forms of i-adjectives","Las pequeñas flores del jardín están floreciendo.<br><br>小[ちい]さな - pequeño, pequeño<br><br>Formas especiales na-adjetivas de los adjetivos i","[sound:JLPT_Tango_N4_0748.mp3]","","単語N4"
"妹は変なファッションが好きです。","妹[いもうと]は 変[へん]なファッションが 好[す]きです。","My younger sister likes strange fashion.<br><br>変[へん]な - strange","A mi hermana menor le gusta la moda extraña.<br><br>変[へん]な - extraño","[sound:JLPT_Tango_N4_0749.mp3]","","単語N4"
"これが出来たら、N４の勉強は十分です。","これが 出来[でき]たら、 N４の 勉強[べんきょう]は 十分[じゅうぶん]です。","If I can do this, my studying for the N4 will be sufficient.<br><br>十分[じゅうぶん]な - sufficient, satisfactory","Si puedo hacerlo, mi estudio para el N4 será suficiente.<br><br>十分[じゅうぶん]な - suficiente, satisfactorio","[sound:JLPT_Tango_N4_0750.mp3]","","単語N4"
"こんなに美しい景色を見たことがありません。","こんなに 美[うつく]しい 景色[けしき]を 見[み]たことがありません。","""I've never seen such beautiful scenery.<br><br>美[うつく]しい - beautiful""","Nunca he visto un paisaje tan bonito.<br><br>[美[うつく]しい - hermoso","[sound:JLPT_Tango_N4_0751.mp3]","","単語N4"
"兄の部屋はとても汚いです。","兄[あに]の 部屋[へや]はとても 汚[きたな]いです。","""My older brother's room is really messy.<br><br>汚[きたな]い - dirty, messy""","La habitación de mi hermano mayor está muy desordenada.<br><br>汚[きたな]い - sucio, desordenado","[sound:JLPT_Tango_N4_0752.mp3]","","単語N4"
"彼はサッカーも野球もとても上手いです。","彼[かれ]はサッカーも 野球[やきゅう]もとても 上手[うま]いです。","""He's good at soccer and baseball.<br><br>上手[うま]い - skillful<br><br>美味[うま]い (same reading, different kanji) is also used to mean """"(this food is) delicious""""""","""Es bueno en fútbol y béisbol.<br><br>上手[うま]い - skillful<br><br>美味[うま]い (misma lectura, diferente kanji) también se utiliza para significar """"(esta comida es) deliciosa""""""","[sound:JLPT_Tango_N4_0753.mp3]","","単語N4"
"新しいソファーはとても柔らかいです。","新[あたら]しいソファーはとても 柔[やわ]らかいです。","The new sofa is really soft.<br><br>柔[やわ]らかい - soft, flexible","El nuevo sofá es realmente suave.<br><br>柔[やわ]らかい - suave, flexible","[sound:JLPT_Tango_N4_0754.mp3]","","単語N4"
"このパンは硬いですが、美味しいです。","このパンは 硬[かた]いですが、 美味[おい]しいです。","This bread is hard, but delicious.<br><br>硬[かた]い - hard, stiff","Este pan es duro, pero delicioso.<br><br>硬[かた]い - duro, rígido","[sound:JLPT_Tango_N4_0755.mp3]","","単語N4"
"この辞書の説明は詳しいです。","この 辞書[じしょ]の 説明[せつめい]は 詳[くわ]しいです。","The explanations in this dictionary are detailed.<br><br>詳[くわ]しい - detailed, well-informed","Las explicaciones de este diccionario son detalladas.<br><br>詳[くわ]しい - detallado, bien informado","[sound:JLPT_Tango_N4_0756.mp3]","","単語N4"
"玉葱を細かく切って下さい。","玉葱[たまねぎ]を 細[こま]かく 切[き]って 下[くだ]さい。","Please cut the onions finely.<br><br>細[こま]かい - fine, minute","Por favor, corte las cebollas finamente.<br><br>細[こま]かい - finas, diminutas","[sound:JLPT_Tango_N4_0757.mp3]","","単語N4"
"この道は夜に成ると、暗くて怖いです。","この 道[みち]は 夜[よる]に 成[な]ると、 暗[くら]くて 怖[こわ]いです。","This road gets dark and scary at night.<br><br>怖[こわ]い - scary, fearful","Este camino se vuelve oscuro y aterrador por la noche.<br><br>怖[こわ]い - miedo, temor","[sound:JLPT_Tango_N4_0758.mp3]","","単語N4"
"昨日の夜は凄い雨でした。","昨日[きのう]の 夜[よる]は 凄[すご]い 雨[あめ]でした。","The rain last night was dreadful.<br><br>凄[すご]い - amazing, dreadful","La lluvia de anoche fue espantosa.<br><br>凄[すご]い - sorprendente, espantosa","[sound:JLPT_Tango_N4_0759.mp3]","","単語N4"
"留学で素晴らしい経験が出来ました。","留学[りゅうがく]で 素晴[すば]らしい 経験[けいけん]が 出来[でき]ました。","I was able to have some amazing experiences on my exchange.<br><br>素晴[すば]らしい - magnificent","Pude vivir experiencias increíbles en mi intercambio.<br><br>[素晴[すば]らしい - magnífico","[sound:JLPT_Tango_N4_0760.mp3]","","単語N4"
"この答えが正しいかどうか分かりません。","この 答[こた]えが 正[ただ]しいかどうか 分[わ]かりません。","""I don't know if this answer is correct or not.<br><br>正[ただ]しい - correct""","No sé si esta respuesta es correcta o no.<br><br>正[ただ]しい - correcto","[sound:JLPT_Tango_N4_0761.mp3]","","単語N4"
"昨日のテストは酷い点でした。","昨日[きのう]のテストは 酷[ひど]い 点[てん]でした。","""I got a terrible score on yesterday's test.<br><br>酷[ひど]い - terrible""","Obtuve una puntuación terrible en el examen de ayer.<br><br>酷[ひど]い - terrible","[sound:JLPT_Tango_N4_0762.mp3]","","単語N4"
"この大根はとても太いです。","この 大根[だいこん]はとても 太[ふと]いです。","This Japanese radish is really thick.<br><br>太[ふと]い - fat, thick","Este rábano japonés es realmente grueso.<br><br>太[ふと]い - gordo, grueso","[sound:JLPT_Tango_N4_0763.mp3]","","単語N4"
"彼女は足がとても細いです。","彼女[かのじょ]は 足[あし]がとても 細[ほそ]いです。","Her legs are really slender.<br><br>細[ほそ]い - thin, slender","Sus piernas son realmente delgadas.<br><br>細[ほそ]い - delgado, esbelto","[sound:JLPT_Tango_N4_0764.mp3]","","単語N4"
"寒いので、厚いコートが欲しいです。","寒[さむ]いので、 厚[あつ]いコートが 欲[ほ]しいです。","""It's cold, so I want a thick coat.<br><br>厚[あつ]い - thick""","Hace frío, así que quiero un abrigo grueso.<br><br>厚[あつ]い - grueso","[sound:JLPT_Tango_N4_0765.mp3]","","単語N4"
"この川は浅いので、子供も遊べます。","この 川[かわ]は 浅[あさ]いので、 子供[こども]も 遊[あそ]べます。","This river is shallow, so children can play in it.<br><br>浅[あさ]い - shallow","Este río es poco profundo, por lo que los niños pueden jugar en él.<br><br>浅[あさ]い - poco profundo","[sound:JLPT_Tango_N4_0766.mp3]","","単語N4"
"このプールの真ん中はとても深いです。","このプールの 真[ま]ん 中[なか]はとても 深[ふか]いです。","The middle of this pool is very deep.<br><br>深[ふか]い - deep","El centro de esta piscina es muy profundo.<br><br>深[ふか]い - profundo","[sound:JLPT_Tango_N4_0767.mp3]","","単語N4"
"お腹がいっぱいで、ちょっと眠いです。","お 腹[なか]がいっぱいで、ちょっと 眠[ねむ]いです。","""My stomach is full, so I'm a little sleepy.<br><br>眠[ねむ]い - sleepy""","Mi estómago está lleno, así que tengo un poco de sueño.<br><br>眠[ねむ]い - con sueño","[sound:JLPT_Tango_N4_0768.mp3]","","単語N4"
"こんなに大きなダイヤは珍しいです。","こんなに 大[おお]きなダイヤは 珍[めずら]しいです。","A diamond this big is rare.<br><br>珍[めずら]しい - rare, uncommon","Un diamante tan grande es raro.<br><br>珍[めずら]しい - raro, poco común","[sound:JLPT_Tango_N4_0769.mp3]","","単語N4"
"この店は外国のお客さんがとても増えています。","この 店[みせ]は 外国[がいこく]のお 客[きゃく]さんがとても 増[ふ]えています。","The foreign customers in this restaurant are increasing.<br><br>増[ふ]える - to increase","Los clientes extranjeros en este restaurante están aumentando.<br><br>増[ふ]える - para aumentar","[sound:JLPT_Tango_N4_0770.mp3]","","単語N4"
"アルバイトをして、貯金を増やしたいです。","アルバイトをして、 貯金[ちょきん]を 増[ふ]やしたいです。","I want to get a part-time job and increase my savings.<br><br>増[ふ]やす - to increase (something)","Quiero conseguir un trabajo a tiempo parcial y aumentar mis ahorros.<br><br>増[ふ]やす - aumentar (algo)","[sound:JLPT_Tango_N4_0771.mp3]","","単語N4"
"日本では人口が減っています。","日本[にほん]では 人口[じんこう]が 減[へ]っています。","In Japan, the population is decreasing.<br><br>減[へ]る - to decrease","En Japón, la población está disminuyendo.<br><br>減[へ]る - para disminuir","[sound:JLPT_Tango_N4_0772.mp3]","","単語N4"
"運動をして、体重を減らしました。","運動[うんどう]をして、 体重[たいじゅう]を 減[へ]らしました。","I exercised and decreased my weight.<br><br>減[へ]らす - to decrease (something)","Hice ejercicio y disminuí mi peso.<br><br>減[へ]らす - disminuir (algo)","[sound:JLPT_Tango_N4_0773.mp3]","","単語N4"
"姉と私は大学が違います。","姉[あね]と 私[わたし]は 大学[だいがく]が 違[ちが]います。","My older sister and I go to different colleges.<br><br>違[ちが]う - to be different, to be wrong","Mi hermana mayor y yo vamos a diferentes universidades.<br><br>[違[ちが]う - ser diferente, estar equivocado","[sound:JLPT_Tango_N4_0774.mp3]","","単語N4"
"春に成ったら、髪型を変えます。","春[はる]に 成[な]ったら、 髪型[かみがた]を 変[か]えます。","""I'm going to change my hairstyle when spring comes.<br><br>変[か]える - to change""","Voy a cambiar mi peinado cuando llegue la primavera.<br><br>変[か]える - cambiar","[sound:JLPT_Tango_N4_0775.mp3]","","単語N4"
"髪を切ったら、気分が変わりました。","髪[かみ]を 切[き]ったら、 気分[きぶん]が 変[か]わりました。","After getting my hair cut, my mood changed.<br><br>変[か]わる - to be changed","Después de cortarme el pelo, mi estado de ánimo cambió.<br><br>変[か]わる - para ser cambiado","[sound:JLPT_Tango_N4_0776.mp3]","","単語N4"
"窓から富士山が綺麗に見えます。","窓[まど]から 富士山[ふじさん]が 綺麗[きれい]に 見[み]えます。","Mt. Fuji is clearly visible from the window.<br><br>見[み]える - to be visible","El Monte Fuji es claramente visible desde la ventana.<br><br>見[み]える - para ser visible","[sound:JLPT_Tango_N4_0777.mp3]","","単語N4"
"近所から子供の声が聞こえます。","近所[きんじょ]から 子供[こども]の 声[こえ]が 聞[き]こえます。","""I can hear children's voices from the neighborhood<br><br>聞[き]こえる - to be audible, to be heard""","Puedo oír las voces de los niños del barrio<br><br>聞[き]こえる - ser audible, ser escuchado","[sound:JLPT_Tango_N4_0778.mp3]","","単語N4"
"このホテルは人気があって、部屋が空いていません。","このホテルは 人気[にんき]があって、 部屋[へや]が 空[あ]いていません。","This hotel is really popular, so it has no vacancies.<br><br>空[あ]く - to be vacant","Este hotel es muy popular, por lo que no tiene vacantes.<br><br>空[あ]く - estar vacante","[sound:JLPT_Tango_N4_0779.mp3]","","単語N4"
"シャツのボタンが外れています。","シャツのボタンが 外[はず]れています。","My shirt button came undone.<br><br>外[はず]れる - to come undone","El botón de mi camisa se desabrochó.<br><br>外[はず]れる - para desabrocharse","[sound:JLPT_Tango_N4_0780.mp3]","","単語N4"
"弟の靴の紐が切れました。","弟[おとうと]の 靴[くつ]の 紐[ひも]が 切[き]れました。","""My little brother's shoelace ripped.<br><br>切[き]れる - to tear, to rip""","El cordón de mi hermano pequeño se rasgó.<br><br>切[き]れる - rasgar, rasgar","[sound:JLPT_Tango_N4_0781.mp3]","","単語N4"
"来月から東京の新聞社で働きます。","来月[らいげつ]から 東京[とうきょう]の 新聞[しんぶん] 社[しゃ]で 働[はたら]きます。","""Starting next month, I'll be working at a newspaper company in Tokyo.<br><br>新聞[しんぶん] 社[しゃ] - newspaper company""","A partir del mes que viene, trabajaré en una empresa periodística en Tokio.<br><br>新聞[しんぶん] 社[しゃ] - empresa periodística","[sound:JLPT_Tango_N4_0782.mp3]","","単語N4"
"テレビ局の試験を受けたいです。","テレビ 局[きょく]の 試験[しけん]を 受[う]けたいです。","I want to take a test for a TV station.<br><br>テレビ 局[きょく] - TV station","Quiero hacer una prueba para una emisora de televisión.<br><br>テレビ[きょく] 局[きょく] - Estación de TV","[sound:JLPT_Tango_N4_0783.mp3]","","単語N4"
"どんな番組をよく見ていますか。","どんな 番組[ばんぐみ]をよく 見[み]ていますか。","What kind of shows are you watching?<br><br>番組[ばんぐみ] - (TV, radio) program, show","¿Qué tipo de programas ves? <br><br>番組[ばんぐみ] - (TV, radio) programa, show","[sound:JLPT_Tango_N4_0784.mp3]","","単語N4"
"毎日、ネットニュースを読んでいます。","毎日[まいにち]、ネットニュースを 読[よ]んでいます。","I read online news every day.<br><br>ネットニュース - online news","Leo noticias en línea todos los días.<br><br>ネットニュース - noticias en línea","[sound:JLPT_Tango_N4_0785.mp3]","","単語N4"
"インターネットで世界の情報がすぐ分かります。","インターネットで 世界[せかい]の 情報[じょうほう]がすぐ 分[わ]かります。","On the Internet, you can find out world news right away.<br><br>情報[じょうほう] - information","En Internet, puedes conocer las noticias del mundo al instante.<br><br>情報[じょうほう] - información","[sound:JLPT_Tango_N4_0786.mp3]","","単語N4"
"世界のデータを集めました。","世界[せかい]のデータを 集[あつ]めました。","I gathered data from around the world.<br><br>データ - data","Reuní datos de todo el mundo.<br><br>データ - datos","[sound:JLPT_Tango_N4_0787.mp3]","","単語N4"
"ニュースのキーワードをメモしましょう。","ニュースのキーワードをメモしましょう。","""Let's write down keywords from the news.<br><br>キーワード - keyword""","Escribamos las palabras clave de la noticia.<br><br>キーワード - palabra clave","[sound:JLPT_Tango_N4_0788.mp3]","","単語N4"
"この番組は海外でも放送されています。","この 番組[ばんぐみ]は 海外[かいがい]でも 放送[ほうそう]されています。","This program is being broadcast overseas, too.<br><br>放送[ほうそう]＜する＞ - broadcast","Este programa también se emite en el extranjero.<br><br>放送[ほうそう]＜する＞ - emisión","[sound:JLPT_Tango_N4_0789.mp3]","","単語N4"
"難しいニュースを易しく伝えます。","難[むずか]しいニュースを 易[やさ]しく 伝[つた]えます。","They report difficult news in a simple manner.<br><br>伝[つた]える - to convey, to report","Informan de noticias difíciles de forma sencilla.<br><br>伝[つた]える - transmitir, informar","[sound:JLPT_Tango_N4_0790.mp3]","","単語N4"
"駅の近くで火事がありました。","駅[えき]の 近[ちか]くで 火事[かじ]がありました。","There was a fire near the station.<br><br>火事[かじ] - fire","Hubo un incendio cerca de la estación.<br><br>火事[かじ] - fuego","[sound:JLPT_Tango_N4_0791.mp3]","","単語N4"
"この道ではよく事故が起こります。","この 道[みち]ではよく 事故[じこ]が 起[お]こります。","There are many accidents on this road.<br><br>（ 事故[じこ]が） 起[お]こる - to occur (an accident)","Hay muchos accidentes en esta carretera.<br><br>（ 事故[じこ]が） 起[お]こる - ocurrir (un accidente)","[sound:JLPT_Tango_N4_0792.mp3]","","単語N4"
"小学生が新しい星を発見しました。","小学生[しょうがくせい]が 新[あたら]しい 星[ほし]を 発見[はっけん]しました。","An elementary school student discovered a new star.<br><br>発見[はっけん]＜する＞ - discovery","Un estudiante de primaria descubrió una nueva estrella.<br><br>発見[はっけん]＜する＞ - descubrimiento","[sound:JLPT_Tango_N4_0793.mp3]","","単語N4"
"電車に忘れた書類が見付かりました。","電車[でんしゃ]に 忘[わす]れた 書類[しょるい]が 見付[みつ]かりました。","I found the documents I left on the train.<br><br>見付[みつ]かる - to be found","Encontré los documentos que dejé en el tren.<br><br>見付[みつ]かる - a encontrar","[sound:JLPT_Tango_N4_0794.mp3]","","単語N4"
"居なくなった犬を公園で見付けました。","居[い]なくなった 犬[いぬ]を 公園[こうえん]で 見付[みつ]けました。","I found the dog that went missing in the park.<br><br>見付[みつ]ける - to find","Encontré el perro que se perdió en el parque.<br><br>見付[みつ]ける - para encontrar","[sound:JLPT_Tango_N4_0795.mp3]","","単語N4"
"大好きな作家が新しい小説を発表しました。","大好[だいす]きな 作家[さっか]が 新[あたら]しい 小説[しょうせつ]を 発表[はっぴょう]しました。","My favorite author announced the release of a new novel.<br><br>発表[はっぴょう]＜する＞ - announcement","Mi autor favorito ha anunciado el lanzamiento de una nueva novela.<br><br>発表[はっぴょう]＜する＞ - anuncio","[sound:JLPT_Tango_N4_0796.mp3]","","単語N4"
"大統領のスピーチは素晴らしかったです。","大統領[だいとうりょう]のスピーチは 素晴[すば]らしかったです。","""The president's speech was magnificent.<br><br>スピーチ＜する＞ - speech""","El discurso del presidente fue magnífico.<br><br>スピーチ}する＞ - discurso","[sound:JLPT_Tango_N4_0797.mp3]","","単語N4"
"雨の日が２週間も続いています。","雨[あめ]の 日[ひ]が２ 週間[しゅうかん]も 続[つづ]いています。","Rainy days have continued for two weeks.<br><br>続[つづ]く - to be continued","Los días de lluvia han continuado durante dos semanas.<br><br>続[つづ]く - continuará","[sound:JLPT_Tango_N4_0798.mp3]","","単語N4"
"これからも日本語の勉強を続けるつもりです。","これからも 日本語[にほんご]の 勉強[べんきょう]を 続[つづ]けるつもりです。","I intend to keep studying Japanese from now on.<br><br>続[つづ]ける - to continue","Tengo la intención de seguir estudiando japonés a partir de ahora.<br><br>続[つづ]ける - para continuar","[sound:JLPT_Tango_N4_0799.mp3]","","単語N4"
"友達と遊びに行く約束をしました。","友達[ともだち]と 遊[あそ]びに 行[い]く 約束[やくそく]をしました。","I promised to go play with my friend.<br><br>約束[やくそく]＜する＞ - promise","Prometí ir a jugar con mi amigo.<br><br>[約束[やくそく]＜する＞ - promesa","[sound:JLPT_Tango_N4_0800.mp3]","","単語N4"
"約束は守らなければなりません。","約束[やくそく]は 守[まも]らなければなりません。","You must keep your promises.<br><br>（ 約束[やくそく]を） 守[まも]る - to keep (a promise)","Debes mantener tus promesas.<br><br>（ 約束[やくそく]を）. 守[まも]る - cumplir (una promesa)","[sound:JLPT_Tango_N4_0801.mp3]","","単語N4"
"約束を破るのは良くないですよ。","約束[やくそく]を 破[やぶ]るのは 良[よ]くないですよ。","""It's not good to break your promises.<br><br>（ 約束[やくそく]を） 破[やぶ]る - to break (a promise)""","No es bueno romper tus promesas.<br><br>（ 約束[やくそく]を） 破[やぶ]る - romper (una promesa)","[sound:JLPT_Tango_N4_0802.mp3]","","単語N4"
"タクシーに乗っても、コンサートに間に合いません。","タクシーに 乗[の]っても、コンサートに 間[ま]に 合[あ]いません。","""I won't make it to the concert in time, even if I take a taxi.<br><br>間に合[まにあ]う - to make it in time""","No llegaré al concierto a tiempo, aunque tome un taxi.<br><br>[間に合[まにあ]う - para llegar a tiempo","[sound:JLPT_Tango_N4_0803.mp3]","","単語N4"
"デートに１時間も遅れました。","デートに１ 時間[じかん]も 遅[おく]れました。","I was an hour late to my date.<br><br>遅[おく]れる - to be late","Llegué una hora tarde a mi cita.<br><br>遅[おく]れる - llegar tarde","[sound:JLPT_Tango_N4_0804.mp3]","","単語N4"
"台風で旅行をキャンセルしました。","台風[たいふう]で 旅行[りょこう]をキャンセルしました。","I cancelled my trip due to the typhoon.<br><br>キャンセル＜する＞ - cancellation","He cancelado mi viaje debido al tifón.<br><br>キャンセル＜する＞ - cancelación","[sound:JLPT_Tango_N4_0805.mp3]","","単語N4"
"どうして妹が泣いているのか、訳が分かりません。","どうして 妹[いもうと]が 泣[な]いているのか、 訳[わけ]が 分[わ]かりません。","""I don't know why my little sister is crying.<br><br>訳[わけ] - reason, explanation""","No sé por qué mi hermana pequeña está llorando.<br><br>訳[わけ] - razón, explicación","[sound:JLPT_Tango_N4_0806.mp3]","","単語N4"
"パーティーにマリアさんも誘いましょう。","パーティーにマリアさんも 誘[さそ]いましょう。","""Let's invite Maria-san to the party, too.<br><br>誘[さそ]う - to invite""","Invitemos a Maria-san a la fiesta también.<br><br>[誘[さそ]う - para invitar","[sound:JLPT_Tango_N4_0807.mp3]","","単語N4"
"パーティーの時間をみんなに連絡します。","パーティーの 時間[じかん]をみんなに 連絡[れんらく]します。","""I'm going to communicate the time of the party to everyone.<br><br>連絡[れんらく]＜する＞ - notice, communication""","Voy a comunicar la hora de la fiesta a todos.<br><br>連絡[れんらく]＜する＞ - aviso, comunicación","[sound:JLPT_Tango_N4_0808.mp3]","","単語N4"
"国の友達から電話がありました。","国[くに]の 友達[ともだち]から 電話[でんわ]がありました。","There was a call from my friend from my home country.<br><br>（ 電話[でんわ]が）ある - to have a call","Hubo una llamada de mi amigo de mi país de origen.<br><br>（ 電話[でんわ]が）ある - tener una llamada","[sound:JLPT_Tango_N4_0809.mp3]","","単語N4"
"来週みんなで食事しましょう。","来週[らいしゅう]みんなで 食事[しょくじ]しましょう。","""Let's have a meal with everyone next week.<br><br>食事[しょくじ]＜する＞ - meal, dining""","Vamos a tener una comida con todos la próxima semana.<br><br>食事[しょくじ]＜する＞ - comida, comedor","[sound:JLPT_Tango_N4_0810.mp3]","","単語N4"
"来週の社員旅行に参加します。","来週[らいしゅう]の 社員[しゃいん] 旅行[りょこう]に 参加[さんか]します。","""I'm going to participate in the employee trip next week.<br><br>参加[さんか]＜する＞ - participation""","Voy a participar en el viaje de los empleados la próxima semana.<br><br>参加[さんか]＜する＞ - participación","[sound:JLPT_Tango_N4_0811.mp3]","","単語N4"
"来週の皆さんの都合を教えて下さい。","来週[らいしゅう]の 皆[みな]さんの 都合[つごう]を 教[おし]えて 下[くだ]さい。","Everyone, please tell me your schedules for next week.<br><br>都合[つごう] - convenience, schedule","Todos, por favor, decidme vuestros horarios para la próxima semana.<br><br>都合[つごう] - conveniencia, horario","[sound:JLPT_Tango_N4_0812.mp3]","","単語N4"
"連休には北海道を旅行する予定です。","連休[れんきゅう]には 北海道[ほっかいどう]を 旅行[りょこう]する 予定[よてい]です。","I plan to take a trip to Hokkaido during the extended weekend.<br><br>予定[よてい] - plan","Tengo previsto hacer un viaje a Hokkaido durante el fin de semana largo.<br><br>予定[よてい] - plan","[sound:JLPT_Tango_N4_0813.mp3]","","単語N4"
"さっきの電話の相手は母です。","さっきの 電話[でんわ]の 相手[あいて]は 母[はは]です。","The person who called just now was my mother.<br><br>相手[あいて] - partner, opponent, person","La persona que llamó hace un momento era mi madre.<br><br>相手[あいて] - compañero, oponente, persona","[sound:JLPT_Tango_N4_0814.mp3]","","単語N4"
"この頃、お酒を飲む機会が増えました。","この 頃[ごろ]、お 酒[さけ]を 飲[の]む 機会[きかい]が 増[ふ]えました。","Nowadays, I have more opportunities to drink alcohol.<br><br>機会[きかい] - chance, opportunity","Hoy en día, tengo más oportunidades para beber alcohol.<br><br>機会[きかい] - oportunidad, oportunidad","[sound:JLPT_Tango_N4_0815.mp3]","","単語N4"
"彼に指輪を貰って、とても嬉しいです。","彼[かれ]に 指輪[ゆびわ]を 貰[もら]って、とても 嬉[うれ]しいです。","I was really happy to get a ring from him.<br><br>嬉[うれ]しい - happy, glad","Me alegré mucho de recibir un anillo de él.<br><br>[嬉[うれ]しい - feliz, contento","[sound:JLPT_Tango_N4_0816.mp3]","","単語N4"
"いつも笑っていれば、いい事がありますよ。","いつも 笑[わら]っていれば、いい 事[こと]がありますよ。","""Something good is bound to happen if you're always smiling.<br><br>笑[わら]う - to laugh, to smile""","Algo bueno va a pasar si siempre estás sonriendo.<br><br>笑[わら]う - reír, sonreír","[sound:JLPT_Tango_N4_0817.mp3]","","単語N4"
"家で休むのに楽な椅子が欲しいです。","家[いえ]で 休[やす]むのに 楽[らく]な 椅子[いす]が 欲[ほ]しいです。","I want a comfortable chair to rest in at home.<br><br>楽[らく]な - easy, comfortable","Quiero una silla cómoda para descansar en casa.<br><br>楽[らく]な - fácil, cómodo","[sound:JLPT_Tango_N4_0819.mp3]","","単語N4"
"彼の言葉を信じています。","彼[かれ]の 言葉[ことば]を 信[しん]じています。","I believe his words.<br><br>信[しん]じる - to believe, to trust","Creo en sus palabras.<br><br>信[しん]じる - creer, confiar","[sound:JLPT_Tango_N4_0821.mp3]","","単語N4"
"世界の平和を祈っています。","世界[せかい]の 平和[へいわ]を 祈[いの]っています。","I pray for world peace.<br><br>祈[いの]る - to pray","Rezo por la paz mundial.<br><br>祈[いの]る - para rezar","[sound:JLPT_Tango_N4_0822.mp3]","","単語N4"
"友達が帰国して、とても悲しいです。","友達[ともだち]が 帰国[きこく]して、とても 悲[かな]しいです。","""My friend went back to her home country, so I'm very sad.<br><br>悲[かな]しい - sad""","Mi amiga volvió a su país de origen, así que estoy muy triste.<br><br>悲[かな]しい - triste","[sound:JLPT_Tango_N4_0823.mp3]","","単語N4"
"日本へ来てから一ヶ月くらいとても寂しかったです。","日本[にほん]へ 来[き]てから 一ヶ月[いっかげつ]くらいとても 寂[さび]しかったです。","I was so lonely for about a month after I came to Japan.<br><br>寂[さび]しい - lonely","Me sentí muy solo durante un mes después de llegar a Japón.<br><br>[寂[さび]しい - solitario","[sound:JLPT_Tango_N4_0824.mp3]","","単語N4"
"電車で赤ちゃんが泣いていました。","電車[でんしゃ]で 赤[あか]ちゃんが 泣[な]いていました。","A baby was crying on the train.<br><br>泣[な]く - to cry, to weep","Un bebé lloraba en el tren.<br><br>泣[な]く - llorar, llorar","[sound:JLPT_Tango_N4_0825.mp3]","","単語N4"
"動物の映画を見て、涙が出ました。","動物[どうぶつ]の 映画[えいが]を 見[み]て、 涙[なみだ]が 出[で]ました。","I saw a movie about animals and cried.<br><br>涙[なみだ] - tear","He visto una película sobre animales y he llorado.<br><br>涙[なみだ] - lágrima","[sound:JLPT_Tango_N4_0826.mp3]","","単語N4"
"その映画は詰まらなかったです。","その 映画[えいが]は 詰[つ]まらなかったです。","That movie was boring.<br><br>つまらない - boring, not interesting","Esa película fue aburrida.<br><br>つまらない - aburrido, no interesante","[sound:JLPT_Tango_N4_0828.mp3]","","単語N4"
"好きだった俳優が結婚して、がっかりしました。","好[す]きだった 俳優[はいゆう]が 結婚[けっこん]して、がっかりしました。","I was disappointed to hear that an actor I liked got married.<br><br>がっかり＜する＞ - disappointment","Me decepcionó saber que un actor que me gustaba se casó.<br><br>がっかり＜する＞ - decepción","[sound:JLPT_Tango_N4_0829.mp3]","","単語N4"
"何でも簡単に諦めてはいけません。","何[なん]でも 簡単[かんたん]に 諦[あきら]めてはいけません。","""You mustn't give up on everything so easily.<br><br>諦[あきら]める - to give up""","No debes renunciar a todo tan fácilmente.<br><br>諦[あきら]める - para rendirse","[sound:JLPT_Tango_N4_0830.mp3]","","単語N4"
"昨日のスピーチはとても緊張しました。","昨日[きのう]のスピーチはとても 緊張[きんちょう]しました。","I was really nervous during my speech yesterday.<br><br>緊張[きんちょう]＜する＞ - nervousness","Estaba muy nervioso durante mi discurso de ayer.<br><br>[緊張[きんちょう]＜する＞ - nerviosismo","[sound:JLPT_Tango_N4_0831.mp3]","","単語N4"
